場名,日付,レース,着順,艇番,登番,選手名,モーター,ボート,展示タイム,進入,ST,レースタイム,決まり手,ミッドナイト
下関,2025/11/02,10,04,4,4264,長尾章平,51,11,6.80,4,0.11,1.52.2,差し,
下関,2025/11/02,10,05,5,4977,馬野耀,34,68,6.75,5,0.14,.,差し,
下関,2025/11/02,10,06,6,4812,西野雄貴,48,59,6.77,6,0.13,.,差し,
下関,2025/11/02,11,01,1,4645,上村純一,62,63,6.72,1,0.15,1.48.1,逃げ,
下関,2025/11/02,11,02,4,4832,権藤俊光,19,24,6.67,4,0.25,1.49.2,逃げ,
下関,2025/11/02,11,03,2,4350,篠崎元志,42,61,6.71,2,0.15,1.51.5,逃げ,
下関,2025/11/02,11,04,3,4980,佐々木完太,54,65,6.72,3,0.21,1.52.6,逃げ,
下関,2025/11/02,11,05,5,4074,柳沢一,56,21,6.72,5,0.27,.,逃げ,
下関,2025/11/02,11,06,6,4083,福島勇樹,13,51,6.69,6,0.24,.,逃げ,
下関,2025/11/02,12,01,1,3415,松井繁,52,57,6.77,1,0.14,1.47.9,逃げ,
下関,2025/11/02,12,02,6,4787,椎名豊,61,42,6.75,6,0.21,1.49.2,逃げ,
下関,2025/11/02,12,03,3,4601,森野正弘,67,53,6.75,3,0.17,1.50.7,逃げ,
下関,2025/11/02,12,04,5,4586,磯部誠,33,16,6.78,5,0.32,1.51.5,逃げ,
下関,2025/11/02,12,05,4,4361,柳生泰二,57,58,6.74,4,0.27,.,逃げ,
下関,2025/11/02,12,06,2,4028,田村隆信,71,66,6.76,2,0.16,.,逃げ,
宮島,2025/11/02,1,01,2,4017,向井美鈴,81,34,6.68,2,0.08,1.49.7,差し,
宮島,2025/11/02,1,02,1,4927,関野文,82,78,6.74,1,0.08,1.50.6,差し,
宮島,2025/11/02,1,03,3,5317,長尾萌加,11,59,6.71,3,0.07,1.50.8,差し,
宮島,2025/11/02,1,04,4,4484,稲生夏季,75,32,6.76,4,0.09,1.53.3,差し,
宮島,2025/11/02,1,05,6,4400,加藤奈月,66,60,6.77,5,0.10,1.54.7,差し,
宮島,2025/11/02,1,06,5,5389,恵良琴美,16,73,6.68,6,0.08,1.56.8,差し,
宮島,2025/11/02,2,01,1,4872,山下流心,77,67,6.75,1,0.14,1.50.2,逃げ,
宮島,2025/11/02,2,02,3,4871,菊池宏志,21,53,6.68,3,0.15,1.51.5,逃げ,
宮島,2025/11/02,2,03,5,3277,齋藤勇,34,75,6.76,5,0.19,1.52.6,逃げ,
宮島,2025/11/02,2,04,2,5274,城間盛渚,26,74,6.72,2,0.18,1.53.1,逃げ,
宮島,2025/11/02,2,05,6,4461,安田吉宏,30,38,6.73,6,0.19,1.55.0,逃げ,
宮島,2025/11/02,2,06,4,3467,森弘行,19,68,6.75,4,0.20,1.55.8,逃げ,
宮島,2025/11/02,3,01,1,4516,野口勝弘,12,80,6.68,1,0.08,1.50.1,逃げ,
宮島,2025/11/02,3,02,6,4610,佐藤大佑,68,62,6.77,6,0.15,1.51.2,逃げ,
宮島,2025/11/02,3,03,3,4978,山田和佐,13,57,6.79,3,0.20,1.51.8,逃げ,
宮島,2025/11/02,3,04,2,4119,泥谷一毅,35,11,6.77,2,0.21,1.53.7,逃げ,
宮島,2025/11/02,3,05,4,3401,上田隆章,24,29,6.82,4,0.17,1.54.6,逃げ,
宮島,2025/11/02,3,06,5,4211,村田敦,74,64,6.87,5,0.11,1.56.3,逃げ,
宮島,2025/11/02,4,01,1,4348,宮崎奨,18,77,6.74,1,0.13,1.49.6,逃げ,
宮島,2025/11/02,4,02,3,4764,小池礼乃,69,27,6.74,3,0.17,1.51.1,逃げ,
宮島,2025/11/02,4,03,2,3257,田頭実,29,52,6.75,2,0.18,1.53.2,逃げ,
宮島,2025/11/02,4,04,4,3385,渡邉睦広,76,71,6.83,4,0.17,1.55.2,逃げ,
宮島,2025/11/02,4,05,5,3211,北川敏弘,28,55,6.83,5,0.19,1.56.4,逃げ,
宮島,2025/11/02,4,06,6,4889,後藤盛也,33,39,6.80,6,0.17,1.58.5,逃げ,
宮島,2025/11/02,5,01,1,4302,西野翔太,37,51,6.74,1,0.07,1.49.0,逃げ,
宮島,2025/11/02,5,02,2,3947,寺本昇平,23,61,6.73,2,0.09,1.50.9,逃げ,
宮島,2025/11/02,5,03,4,4822,百武翔,15,63,6.78,4,0.15,1.52.4,逃げ,
宮島,2025/11/02,5,04,3,4400,加藤奈月,66,60,6.81,3,0.10,1.53.7,逃げ,
宮島,2025/11/02,5,05,6,4587,木田峰由季,36,76,6.73,6,0.09,1.54.2,逃げ,
宮島,2025/11/02,5,06,5,4017,向井美鈴,81,34,6.78,5,0.16,1.54.7,逃げ,
宮島,2025/11/02,6,01,1,3435,寺田千恵,17,36,6.73,1,0.20,1.49.1,逃げ,
宮島,2025/11/02,6,02,3,3957,大谷直弘,27,33,6.74,3,0.28,1.51.3,逃げ,
宮島,2025/11/02,6,03,4,5317,長尾萌加,11,59,6.71,4,0.25,1.51.7,逃げ,
宮島,2025/11/02,6,04,5,5274,城間盛渚,26,74,6.76,5,0.20,1.53.3,逃げ,
宮島,2025/11/02,6,05,6,4489,岩川仁士,79,69,6.75,6,0.23,1.55.1,逃げ,
宮島,2025/11/02,6,06,2,3539,金子順一,78,30,6.76,2,0.20,1.58.3,逃げ,
宮島,2025/11/02,7,01,1,3574,大神康司,14,50,6.78,1,0.10,1.50.7,逃げ,
宮島,2025/11/02,7,02,4,3370,坪内実,38,31,6.70,4,0.19,1.52.0,逃げ,
宮島,2025/11/02,7,03,6,4484,稲生夏季,75,32,6.81,6,0.22,1.52.4,逃げ,
宮島,2025/11/02,7,04,2,3797,岩井繁,71,56,6.76,2,0.11,1.53.3,逃げ,
宮島,2025/11/02,7,05,5,4119,泥谷一毅,35,11,6.75,5,0.22,1.54.7,逃げ,
宮島,2025/11/02,7,06,3,4461,安田吉宏,30,38,6.78,3,0.16,1.55.6,逃げ,
宮島,2025/11/02,8,01,4,4871,菊池宏志,21,53,6.68,4,0.12,1.50.1,まくり,
宮島,2025/11/02,8,02,1,5298,水谷理人,67,13,6.70,1,0.23,1.50.7,まくり,
宮島,2025/11/02,8,03,2,3690,河合三弘,31,81,6.76,2,0.27,1.53.4,まくり,
宮島,2025/11/02,8,04,6,5389,恵良琴美,16,73,6.70,6,0.15,1.54.4,まくり,
宮島,2025/11/02,8,05,5,4764,小池礼乃,69,27,6.72,5,0.14,1.54.5,まくり,
宮島,2025/11/02,8,06,3,4211,村田敦,74,64,6.79,3,0.28,1.57.6,まくり,
宮島,2025/11/02,9,01,1,4822,百武翔,15,63,6.69,1,0.18,1.49.6,逃げ,
宮島,2025/11/02,9,02,6,3757,畑和宏,80,54,6.73,6,0.20,1.51.0,逃げ,
宮島,2025/11/02,9,03,2,4889,後藤盛也,33,39,6.69,2,0.16,1.52.8,逃げ,
宮島,2025/11/02,9,04,3,4872,山下流心,77,67,6.74,3,0.22,1.53.9,逃げ,
宮島,2025/11/02,9,05,5,3947,寺本昇平,23,61,6.72,5,0.25,1.54.5,逃げ,
宮島,2025/11/02,9,06,4,4610,佐藤大佑,68,62,6.72,4,0.26,1.55.3,逃げ,
宮島,2025/11/02,10,01,2,4302,西野翔太,37,51,6.70,3,0.09,1.49.5,まくり差し,
宮島,2025/11/02,10,02,3,3435,寺田千恵,17,36,6.76,4,0.16,1.50.6,まくり差し,
宮島,2025/11/02,10,03,4,4348,宮崎奨,18,77,6.74,5,0.15,1.52.2,まくり差し,
宮島,2025/11/02,10,04,6,3257,田頭実,29,52,6.77,2,0.15,1.53.5,まくり差し,
宮島,2025/11/02,10,05,1,4489,岩川仁士,79,69,6.70,1,0.22,1.53.7,まくり差し,
宮島,2025/11/02,10,06,5,4978,山田和佐,13,57,6.77,6,0.12,1.55.4,まくり差し,
宮島,2025/11/02,11,01,1,4587,木田峰由季,36,76,6.81,1,0.14,1.50.6,逃げ,
宮島,2025/11/02,11,02,2,5298,水谷理人,67,13,6.77,3,0.20,1.52.3,逃げ,
宮島,2025/11/02,11,03,5,3574,大神康司,14,50,6.84,2,0.18,1.53.5,逃げ,
宮島,2025/11/02,11,04,4,4516,野口勝弘,12,80,6.77,5,0.12,1.54.2,逃げ,
宮島,2025/11/02,11,05,6,3797,岩井繁,71,56,6.91,6,0.15,1.54.8,逃げ,
宮島,2025/11/02,11,06,3,4927,関野文,82,78,6.84,4,0.22,1.56.9,逃げ,
宮島,2025/11/02,12,01,1,3849,中岡正彦,32,66,6.81,1,0.08,1.48.4,逃げ,
宮島,2025/11/02,12,02,3,4287,今井貴士,22,37,6.87,3,0.13,1.51.0,逃げ,
宮島,2025/11/02,12,03,4,4471,新田泰章,70,82,6.89,4,0.20,1.52.4,逃げ,
宮島,2025/11/02,12,04,6,4579,中嶋健一郎,20,65,6.83,6,0.15,1.53.1,逃げ,
宮島,2025/11/02,12,05,2,3966,作間章,72,70,6.83,2,0.11,1.54.8,逃げ,
宮島,2025/11/02,12,06,5,4607,鶴田勇雄,25,72,6.84,5,0.23,1.56.5,逃げ,
丸亀,2025/11/02,1,01,1,4197,渥美卓郎,23,57,6.85,1,0.19,1.50.3,逃げ,
丸亀,2025/11/02,1,02,6,5037,田頭虎親,10,46,6.85,6,0.31,1.52.4,逃げ,
丸亀,2025/11/02,1,03,5,5395,日高龍之介,6,54,6.84,5,0.34,1.53.3,逃げ,
丸亀,2025/11/02,1,04,4,3778,安達美帆,65,55,6.77,4,0.33,1.54.6,逃げ,
丸亀,2025/11/02,1,05,2,3535,渡修平,47,29,6.81,2,0.18,1.56.2,逃げ,
丸亀,2025/11/02,1,06,3,5003,来田衣織,53,39,6.79,3,0.18,1.58.2,逃げ,
丸亀,2025/11/02,2,01,4,3477,近藤稔也,64,6,6.81,4,0.15,1.54.5,抜き,
丸亀,2025/11/02,2,02,2,3361,岡部浩,14,58,6.94,2,0.18,1.55.8,抜き,
丸亀,2025/11/02,2,03,6,5412,久保田凪紗,62,35,6.81,6,0.21,1.59.8,抜き,
丸亀,2025/11/02,2,04,5,4944,田代達也,15,8,6.77,5,0.19,2.02.9,抜き,
丸亀,2025/11/02,2,05,3,3517,高橋勲,59,2,6.82,3,0.15,2.13.2,抜き,
丸亀,2025/11/02,2,S0,1,3808,秋田健太郎,56,44,6.86,1,0.17,.,抜き,
丸亀,2025/11/02,3,01,3,4313,西村美智子,55,27,6.76,4,0.09,1.49.3,抜き,
丸亀,2025/11/02,3,02,5,3265,今村暢孝,2,23,6.78,2,0.19,1.51.1,抜き,
丸亀,2025/11/02,3,03,2,3717,立間充宏,17,13,6.87,3,0.26,1.52.4,抜き,
丸亀,2025/11/02,3,04,1,4563,齋藤真之,66,31,6.81,1,0.09,1.52.6,抜き,
丸亀,2025/11/02,3,05,4,3975,小野寺智洋,24,41,6.79,5,0.15,1.54.4,抜き,
丸亀,2025/11/02,3,06,6,4439,近藤友宝,29,14,6.85,6,0.19,1.56.3,抜き,
丸亀,2025/11/02,4,01,2,4443,津田裕絵,11,60,6.98,2,0.24,1.50.1,差し,
丸亀,2025/11/02,4,02,1,4592,小林孝弘,4,15,6.90,1,0.19,1.51.2,差し,
丸亀,2025/11/02,4,03,3,4315,山崎昂介,16,16,6.80,3,0.23,1.52.5,差し,
丸亀,2025/11/02,4,04,6,4131,原豊土,5,52,6.87,6,0.42,1.53.5,差し,
丸亀,2025/11/02,4,05,4,3564,桑原啓,31,37,6.88,4,0.30,1.53.6,差し,
丸亀,2025/11/02,4,06,5,4450,平高奈菜,1,25,6.96,5,0.39,1.56.7,差し,
丸亀,2025/11/02,5,01,3,4483,北野輝季,22,18,6.85,4,0.14,1.49.6,まくり,
丸亀,2025/11/02,5,02,1,3294,野中義生,13,33,6.74,1,0.21,1.51.5,まくり,
丸亀,2025/11/02,5,03,4,3807,岡部哲,41,22,6.78,5,0.25,1.53.2,まくり,
丸亀,2025/11/02,5,04,5,4151,下河誉史,44,43,6.87,3,0.26,1.53.9,まくり,
丸亀,2025/11/02,5,05,6,5395,日高龍之介,6,54,6.82,6,0.33,1.55.4,まくり,
丸亀,2025/11/02,5,06,2,3778,安達美帆,65,55,6.85,2,0.29,1.58.6,まくり,
丸亀,2025/11/02,6,01,2,3024,西島義則,26,19,6.95,1,0.11,1.50.0,逃げ,
丸亀,2025/11/02,6,02,6,3731,高濱芳久,35,49,6.64,5,0.09,1.51.1,逃げ,
丸亀,2025/11/02,6,03,1,5067,山田真聖,19,40,6.76,2,0.19,1.53.1,逃げ,
丸亀,2025/11/02,6,04,5,3477,近藤稔也,64,6,6.78,4,0.10,1.53.6,逃げ,
丸亀,2025/11/02,6,05,4,4197,渥美卓郎,23,57,6.88,3,0.11,1.54.2,逃げ,
丸亀,2025/11/02,6,K0,3,3808,秋田健太郎,56,26,K,.,K,.,逃げ,
丸亀,2025/11/02,7,01,1,5161,登玉隼百,38,21,6.78,1,0.20,1.50.1,逃げ,
丸亀,2025/11/02,7,02,2,3265,今村暢孝,2,23,6.79,2,0.18,1.51.4,逃げ,
丸亀,2025/11/02,7,03,3,5173,谷口佳蓮,43,51,6.75,3,0.14,1.52.7,逃げ,
丸亀,2025/11/02,7,04,4,3361,岡部浩,14,58,6.84,4,0.24,1.53.7,逃げ,
丸亀,2025/11/02,7,05,6,4563,齋藤真之,66,31,6.83,6,0.23,1.53.9,逃げ,
丸亀,2025/11/02,7,06,5,5003,来田衣織,53,39,6.77,5,0.19,1.57.9,逃げ,
丸亀,2025/11/02,8,01,4,3517,高橋勲,59,11,6.70,4,0.16,1.49.8,まくり差し,
丸亀,2025/11/02,8,02,1,3909,佐々木康幸,58,36,6.77,1,0.09,1.51.9,まくり差し,
丸亀,2025/11/02,8,03,3,3975,小野寺智洋,24,41,6.67,3,0.27,1.53.3,まくり差し,
丸亀,2025/11/02,8,04,6,4592,小林孝弘,4,15,6.81,6,0.17,1.54.3,まくり差し,
丸亀,2025/11/02,8,05,5,3535,渡修平,47,29,6.75,5,0.19,1.56.0,まくり差し,
丸亀,2025/11/02,8,06,2,4450,平高奈菜,1,25,6.81,2,0.26,1.59.3,まくり差し,
丸亀,2025/11/02,9,01,2,4151,下河誉史,44,43,6.83,2,0.18,1.50.1,差し,
丸亀,2025/11/02,9,02,1,4439,近藤友宝,29,14,6.82,1,0.11,1.51.2,差し,
丸亀,2025/11/02,9,03,5,4313,西村美智子,55,27,6.78,5,0.10,1.52.7,差し,
丸亀,2025/11/02,9,04,3,4131,原豊土,5,52,6.77,3,0.15,1.53.8,差し,
丸亀,2025/11/02,9,05,6,3807,岡部哲,41,22,6.84,6,0.22,1.55.8,差し,
丸亀,2025/11/02,9,06,4,4944,田代達也,15,8,6.76,4,0.18,1.58.1,差し,
丸亀,2025/11/02,10,01,5,3717,立間充宏,17,13,6.86,5,0.18,1.49.8,まくり差し,
丸亀,2025/11/02,10,02,3,4443,津田裕絵,11,60,6.84,4,0.20,1.50.9,まくり差し,
丸亀,2025/11/02,10,03,6,3294,野中義生,13,33,6.76,6,0.17,1.52.0,まくり差し,
丸亀,2025/11/02,10,04,1,5037,田頭虎親,10,46,6.76,1,0.21,1.53.7,まくり差し,
丸亀,2025/11/02,10,05,4,3024,西島義則,26,19,6.87,2,0.24,1.54.6,まくり差し,
丸亀,2025/11/02,10,06,2,4315,山崎昂介,16,16,6.65,3,0.33,1.54.7,まくり差し,
丸亀,2025/11/02,11,01,1,4483,北野輝季,22,18,6.74,1,0.18,1.48.9,逃げ,
丸亀,2025/11/02,11,02,2,3564,桑原啓,31,37,6.77,2,0.12,1.50.3,逃げ,
丸亀,2025/11/02,11,03,6,5161,登玉隼百,38,21,6.81,6,0.05,1.51.4,逃げ,
丸亀,2025/11/02,11,04,5,5067,山田真聖,19,40,6.76,5,0.09,1.52.8,逃げ,
丸亀,2025/11/02,11,05,3,3909,佐々木康幸,58,36,6.82,3,0.10,1.53.9,逃げ,
丸亀,2025/11/02,11,06,4,5173,谷口佳蓮,43,51,6.80,4,0.14,1.54.1,逃げ,
丸亀,2025/11/02,12,01,1,4852,川原祐明,37,34,6.79,1,0.12,1.48.8,逃げ,
丸亀,2025/11/02,12,02,3,4640,山ノ内雅人,45,48,6.75,3,0.13,1.50.6,逃げ,
丸亀,2025/11/02,12,03,5,4383,竹田吉行,60,63,6.71,5,0.19,1.52.5,逃げ,
丸亀,2025/11/02,12,04,6,4526,池田雄祐,51,53,6.76,6,0.16,1.53.7,逃げ,
丸亀,2025/11/02,12,05,2,3349,吉田一郎,33,28,6.79,2,0.15,1.54.9,逃げ,
丸亀,2025/11/02,12,06,4,4985,井本昌也,30,65,6.77,4,0.17,1.55.3,逃げ,
住之江,2025/11/02,1,01,3,5065,伊久間陽優,14,52,6.78,3,0.20,1.49.3,まくり,
住之江,2025/11/02,1,02,5,4976,金山立樹,66,94,6.80,5,0.13,1.51.4,まくり,
住之江,2025/11/02,1,03,2,3692,竹腰正樹,79,66,6.90,2,0.26,1.52.9,まくり,
住之江,2025/11/02,1,04,1,5273,山下拓巳,15,88,6.79,1,0.23,1.54.2,まくり,
住之江,2025/11/02,1,05,4,3801,五反田忍,87,86,6.86,4,0.10,1.55.6,まくり,
住之江,2025/11/02,1,06,6,5390,高橋涼夏,82,13,6.85,6,0.13,1.55.9,まくり,
住之江,2025/11/02,2,01,1,5107,松本真広,67,73,6.84,1,0.10,1.49.2,逃げ,
住之江,2025/11/02,2,02,5,4220,深川和仁,59,37,6.81,5,0.07,1.50.2,逃げ,
住之江,2025/11/02,2,03,3,3984,坂口周,35,81,6.87,3,0.06,1.52.1,逃げ,
住之江,2025/11/02,2,04,2,3652,森下勇,28,71,6.81,2,0.08,1.52.5,逃げ,
住之江,2025/11/02,2,05,4,5251,沼田七華,33,34,6.82,4,0.02,1.54.0,逃げ,
住之江,2025/11/02,2,06,6,5380,野田亜湖,71,63,6.85,6,0.12,1.58.0,逃げ,
住之江,2025/11/02,3,01,5,3965,北中元樹,54,83,6.89,5,0.13,1.49.2,まくり,
住之江,2025/11/02,3,02,3,4713,白神優,69,68,6.86,3,0.27,1.50.6,まくり,
住之江,2025/11/02,3,03,6,5285,若林麗,18,14,6.82,6,0.16,1.52.3,まくり,
住之江,2025/11/02,3,04,2,5310,土屋蘭,81,58,6.83,2,0.30,1.52.6,まくり,
住之江,2025/11/02,3,05,1,4081,樋口範政,51,32,6.83,1,0.27,1.55.1,まくり,
住之江,2025/11/02,3,06,4,3568,木村光宏,72,21,6.85,4,0.24,1.58.0,まくり,
住之江,2025/11/02,4,01,5,4760,山崎郡,56,15,6.78,5,0.15,1.49.1,まくり差し,
住之江,2025/11/02,4,02,1,4234,野相弘司,63,31,6.82,1,0.15,1.51.2,まくり差し,
住之江,2025/11/02,4,03,6,4725,佐竹太一,21,28,6.82,6,0.21,1.52.0,まくり差し,
住之江,2025/11/02,4,04,3,5008,羽野諒,50,54,6.80,3,0.27,1.54.5,まくり差し,
住之江,2025/11/02,4,05,2,5306,河内悠利杏,37,89,6.82,2,0.22,1.55.4,まくり差し,
住之江,2025/11/02,4,06,4,4327,加藤翔,31,36,6.81,4,0.23,1.58.3,まくり差し,
住之江,2025/11/02,5,01,1,4057,松井賢治,70,84,6.75,1,0.12,1.50.7,逃げ,
住之江,2025/11/02,5,02,2,4836,大谷健太,26,17,6.81,2,0.11,1.51.8,逃げ,
住之江,2025/11/02,5,03,6,3679,飯島昌弘,58,22,6.93,4,0.04,1.54.1,逃げ,
住之江,2025/11/02,5,04,4,5390,高橋涼夏,82,13,6.86,6,0.03,1.54.8,逃げ,
住之江,2025/11/02,5,05,3,5245,倉富大誠,89,33,6.88,3,0.07,1.57.9,逃げ,
住之江,2025/11/02,5,06,5,4714,喜多須杏奈,13,87,6.85,5,0.07,2.01.0,逃げ,
住之江,2025/11/02,6,01,2,4218,吉川喜継,61,82,6.85,2,0.19,1.50.0,差し,
住之江,2025/11/02,6,02,1,4274,長畑友輔,85,39,6.79,1,0.26,1.50.8,差し,
住之江,2025/11/02,6,03,3,4367,山口修路,12,72,6.84,3,0.17,1.51.9,差し,
住之江,2025/11/02,6,04,5,4061,萩原秀人,17,92,6.91,4,0.17,1.53.1,差し,
住之江,2025/11/02,6,05,6,4924,中北涼,83,64,6.92,5,0.21,1.55.6,差し,
住之江,2025/11/02,6,06,4,5380,野田亜湖,71,63,6.87,6,0.26,1.59.4,差し,
住之江,2025/11/02,7,01,2,4903,吉田凌太朗,25,16,6.82,2,0.09,1.49.4,まくり,
住之江,2025/11/02,7,02,4,4436,渋谷明憲,88,91,6.81,4,0.29,1.50.1,まくり,
住之江,2025/11/02,7,03,3,5310,土屋蘭,81,58,6.80,3,0.17,1.50.9,まくり,
住之江,2025/11/02,7,04,1,4962,畑竜生,60,69,6.79,1,0.18,1.52.5,まくり,
住之江,2025/11/02,7,05,6,5065,伊久間陽優,14,52,6.75,6,0.36,1.52.7,まくり,
住之江,2025/11/02,7,06,5,3652,森下勇,28,71,6.85,5,0.31,1.57.0,まくり,
住之江,2025/11/02,8,01,1,4570,前田聖文,53,90,6.84,1,0.07,1.48.7,逃げ,
住之江,2025/11/02,8,02,3,4796,春園功太,77,55,6.77,3,0.13,1.50.2,逃げ,
住之江,2025/11/02,8,03,2,5285,若林麗,18,14,6.79,2,0.10,1.51.7,逃げ,
住之江,2025/11/02,8,04,4,5273,山下拓巳,15,88,6.80,4,0.29,1.53.8,逃げ,
住之江,2025/11/02,8,05,5,5107,松本真広,67,73,6.83,5,0.30,1.55.0,逃げ,
住之江,2025/11/02,8,06,6,5306,河内悠利杏,37,89,6.80,6,0.40,1.56.9,逃げ,
住之江,2025/11/02,9,01,2,4760,山崎郡,56,15,6.80,2,0.10,1.48.9,抜き,
住之江,2025/11/02,9,02,4,3905,天野友和,19,11,6.97,4,0.16,1.50.3,抜き,
住之江,2025/11/02,9,03,1,3742,宮地秀祈,84,78,6.87,1,0.11,1.51.6,抜き,
住之江,2025/11/02,9,04,3,3811,石田章央,30,50,6.86,3,0.13,1.51.8,抜き,
住之江,2025/11/02,9,05,6,5251,沼田七華,33,34,6.85,6,0.18,1.53.9,抜き,
住之江,2025/11/02,9,06,5,4081,樋口範政,51,32,6.89,5,0.19,1.56.9,抜き,
住之江,2025/11/02,10,01,3,4702,三浦敬太,65,56,6.89,3,0.14,1.49.3,まくり差し,
住之江,2025/11/02,10,02,2,4672,守屋大地,23,18,6.84,2,0.19,1.50.5,まくり差し,
住之江,2025/11/02,10,03,1,4976,金山立樹,66,94,6.82,1,0.28,1.52.7,まくり差し,
住之江,2025/11/02,10,04,5,4836,大谷健太,26,17,6.88,5,0.22,1.54.2,まくり差し,
住之江,2025/11/02,10,05,6,4521,小池公生,39,51,6.86,6,0.24,1.56.3,まくり差し,
住之江,2025/11/02,10,06,4,4924,中北涼,83,64,6.90,4,0.19,1.56.8,まくり差し,
住之江,2025/11/02,11,01,1,4713,白神優,69,68,6.83,1,0.12,1.49.1,逃げ,
住之江,2025/11/02,11,02,4,4042,丸岡正典,64,12,6.79,3,0.13,1.49.9,逃げ,
住之江,2025/11/02,11,03,6,4218,吉川喜継,61,82,6.88,5,0.17,1.52.4,逃げ,
住之江,2025/11/02,11,04,2,4220,深川和仁,59,37,6.81,2,0.19,1.54.1,逃げ,
住之江,2025/11/02,11,05,5,4057,松井賢治,70,84,6.85,6,0.19,1.56.2,逃げ,
住之江,2025/11/02,11,06,3,5012,加倉侑征,55,67,6.90,4,0.20,1.56.8,逃げ,
住之江,2025/11/02,12,01,1,4061,萩原秀人,17,92,6.87,1,0.19,1.48.4,逃げ,
住之江,2025/11/02,12,02,2,3965,北中元樹,54,83,7.04,2,0.20,1.50.1,逃げ,
住之江,2025/11/02,12,03,5,4962,畑竜生,60,69,6.87,5,0.17,1.51.5,逃げ,
住之江,2025/11/02,12,04,4,4570,前田聖文,53,90,6.90,4,0.20,1.51.6,逃げ,
住之江,2025/11/02,12,05,3,3679,飯島昌弘,58,22,6.90,3,0.21,1.53.5,逃げ,
住之江,2025/11/02,12,06,6,3984,坂口周,35,81,6.96,6,0.23,1.55.2,逃げ,
びわこ,2025/11/02,1,01,1,4305,金子拓矢,29,27,6.69,1,0.15,1.50.2,逃げ,
びわこ,2025/11/02,1,02,4,4896,花本剛,55,26,6.68,4,0.19,1.52.2,逃げ,
びわこ,2025/11/02,1,03,2,3202,三品隆浩,13,12,6.74,2,0.23,1.53.3,逃げ,
びわこ,2025/11/02,1,04,3,5326,三嶌さらら,73,20,6.75,3,0.15,1.54.1,逃げ,
びわこ,2025/11/02,1,05,5,5344,谷口丞,50,59,6.76,5,0.20,.,逃げ,
びわこ,2025/11/02,1,06,6,5347,井澤聖奈,20,63,6.74,6,0.24,.,逃げ,
びわこ,2025/11/02,2,01,5,3548,室田泰史,71,36,6.71,5,0.17,1.50.2,まくり差し,
びわこ,2025/11/02,2,02,4,5007,近藤雄一郎,26,69,6.76,4,0.16,1.51.7,まくり差し,
びわこ,2025/11/02,2,03,1,5020,宮村勇哉,35,65,6.67,1,0.26,1.53.1,まくり差し,
びわこ,2025/11/02,2,04,6,4803,飯田庄吾,72,72,6.77,6,0.22,1.53.7,まくり差し,
びわこ,2025/11/02,2,05,2,3719,辻栄蔵,43,67,6.68,2,0.23,.,まくり差し,
びわこ,2025/11/02,2,06,3,5305,伊藤栞,56,62,6.89,3,0.21,.,まくり差し,
びわこ,2025/11/02,3,01,4,4362,土屋智則,11,24,6.66,4,0.18,1.48.5,差し,
びわこ,2025/11/02,3,02,2,3362,間嶋仁志,32,68,6.75,2,0.18,1.51.4,差し,
びわこ,2025/11/02,3,03,1,4020,川上清人,60,43,6.75,1,0.12,1.52.8,差し,
びわこ,2025/11/02,3,04,5,4623,中北将史,47,66,6.69,5,0.16,1.53.8,差し,
びわこ,2025/11/02,3,05,3,5157,市川健太,36,32,6.76,3,0.13,.,差し,
びわこ,2025/11/02,3,06,6,5361,植竹玲奈,12,47,6.76,6,0.17,.,差し,
びわこ,2025/11/02,4,01,5,3908,重成一人,58,64,6.73,5,0.15,1.49.4,抜き,
びわこ,2025/11/02,4,02,3,4293,鈴木智啓,65,73,6.70,3,0.18,1.50.1,抜き,
びわこ,2025/11/02,4,03,6,4504,前田将太,16,29,6.68,6,0.15,1.52.1,抜き,
びわこ,2025/11/02,4,04,1,4632,長尾京志郎,37,14,6.63,1,0.26,1.53.2,抜き,
びわこ,2025/11/02,4,05,4,5295,田上凜,34,60,6.64,4,0.16,.,抜き,
びわこ,2025/11/02,4,06,2,5143,常盤海心,38,56,6.74,2,0.41,.,抜き,
びわこ,2025/11/02,5,01,4,3654,武田光史,53,11,6.69,4,0.26,1.51.1,まくり,
びわこ,2025/11/02,5,02,6,3841,佐々木和伸,41,18,6.60,6,0.21,1.52.5,まくり,
びわこ,2025/11/02,5,03,5,5252,荒木颯斗,70,61,6.63,5,0.30,1.54.1,まくり,
びわこ,2025/11/02,5,04,2,4473,藤堂里香,17,25,6.67,2,0.32,1.55.4,まくり,
びわこ,2025/11/02,5,05,3,5297,南彩寧,19,54,6.60,3,0.32,.,まくり,
びわこ,2025/11/02,5,06,1,4896,花本剛,55,26,6.65,1,0.31,.,まくり,
びわこ,2025/11/02,6,01,2,4247,齊藤優,30,17,6.76,2,0.22,1.50.8,差し,
びわこ,2025/11/02,6,02,5,4388,是澤孝宏,57,45,6.75,5,0.18,1.51.9,差し,
びわこ,2025/11/02,6,03,3,4139,丹下健,62,44,6.79,3,0.22,1.53.9,差し,
びわこ,2025/11/02,6,04,4,4463,三苫晃幸,18,57,6.76,4,0.21,1.55.1,差し,
びわこ,2025/11/02,6,05,1,5007,近藤雄一郎,26,69,6.73,1,0.24,.,差し,
びわこ,2025/11/02,6,06,6,5358,増本杏珠,54,30,6.82,6,0.21,.,差し,
